Date,Price,Open,High,Low,Vol.,Change %
1-Jan-21,"29,359.90","28,951.70","29,627.10","28,712.40",100.90K,1.42%
2-Jan-21,"32,193.30","29,359.70","33,233.50","29,008.00",240.87K,9.65%
3-Jan-21,"32,958.90","32,192.90","34,755.90","32,029.60",155.21K,2.38%
4-Jan-21,"32,022.60","33,016.60","33,587.50","28,204.50",255.27K,-2.84%
5-Jan-21,"33,991.50","32,015.40","34,414.70","30,010.50",202.13K,6.15%
6-Jan-21,"36,793.20","33,999.30","36,934.80","33,408.30",227.56K,8.24%
7-Jan-21,"39,460.20","36,798.50","40,340.90","36,361.20",249.60K,7.25%
8-Jan-21,"40,599.30","39,466.40","41,921.70","36,613.40",251.29K,2.89%
9-Jan-21,"40,151.90","40,607.20","41,363.50","38,775.10",128.42K,-1.10%
10-Jan-21,"38,192.20","40,149.70","41,362.40","35,141.60",215.78K,-4.88%
11-Jan-21,"35,544.30","38,195.30","38,217.20","30,411.60",251.04K,-6.93%
12-Jan-21,"34,076.10","35,426.00","36,598.70","32,572.70",241.93K,-4.13%
13-Jan-21,"37,382.20","34,061.20","37,764.60","32,451.90",209.93K,9.70%
14-Jan-21,"39,175.70","37,383.40","40,054.30","36,772.10",172.40K,4.80%
15-Jan-21,"36,845.80","39,175.70","39,715.00","34,488.70",118.42K,-5.95%
16-Jan-21,"36,019.50","36,751.80","37,931.70","35,408.40",137.02K,-2.24%
17-Jan-21,"35,839.60","36,020.10","36,801.30","33,883.50",126.82K,-0.50%
18-Jan-21,"36,613.20","35,838.20","37,436.80","34,801.00",111.52K,2.16%
19-Jan-21,"36,002.90","36,630.60","37,821.00","36,001.40",79.11K,-1.67%
20-Jan-21,"35,476.30","35,862.10","36,384.40","33,444.50",153.61K,-1.46%
21-Jan-21,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%
22-Jan-21,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%
23-Jan-21,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%
24-Jan-21,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%
25-Jan-21,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%
26-Jan-21,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%
27-Jan-21,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%
28-Jan-21,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%
29-Jan-21,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%
30-Jan-21,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%
31-Jan-21,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%
1-Feb-21,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%
2-Feb-21,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%
3-Feb-21,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%
4-Feb-21,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%
5-Feb-21,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%
6-Feb-21,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%
7-Feb-21,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%
8-Feb-21,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%
9-Feb-21,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%
10-Feb-21,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%
11-Feb-21,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%
12-Feb-21,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%
13-Feb-21,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%
14-Feb-21,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%
15-Feb-21,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%
16-Feb-21,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%
17-Feb-21,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%
18-Feb-21,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%
19-Feb-21,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%
20-Feb-21,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%
21-Feb-21,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%
22-Feb-21,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%
23-Feb-21,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%
24-Feb-21,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%
25-Feb-21,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%
26-Feb-21,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%
27-Feb-21,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%
28-Feb-21,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%
1-Mar-21,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%
2-Mar-21,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%
3-Mar-21,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%
4-Mar-21,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%
5-Mar-21,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%
6-Mar-21,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%
7-Mar-21,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%
8-Mar-21,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%
9-Mar-21,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%
10-Mar-21,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%
11-Mar-21,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%
12-Mar-21,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%
13-Mar-21,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%
14-Mar-21,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%
15-Mar-21,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%
16-Mar-21,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%
17-Mar-21,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%
18-Mar-21,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%
19-Mar-21,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%
20-Mar-21,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%
21-Mar-21,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%
22-Mar-21,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%
23-Mar-21,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%
24-Mar-21,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%
25-Mar-21,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%
26-Mar-21,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%
27-Mar-21,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%
28-Mar-21,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%
29-Mar-21,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%
30-Mar-21,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%
31-Mar-21,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%
1-Apr-21,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%
2-Apr-21,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%
3-Apr-21,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%
4-Apr-21,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%
5-Apr-21,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%
6-Apr-21,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%
7-Apr-21,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%
8-Apr-21,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%
9-Apr-21,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%
10-Apr-21,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%
11-Apr-21,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%
12-Apr-21,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%
13-Apr-21,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%
14-Apr-21,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%
15-Apr-21,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%
16-Apr-21,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%
17-Apr-21,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%
18-Apr-21,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%
19-Apr-21,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%
20-Apr-21,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%
21-Apr-21,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%
22-Apr-21,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%
23-Apr-21,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%
24-Apr-21,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%
25-Apr-21,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%
26-Apr-21,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%
27-Apr-21,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%
28-Apr-21,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%
29-Apr-21,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%
30-Apr-21,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%
1-May-21,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%
2-May-21,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%
3-May-21,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%
4-May-21,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%
5-May-21,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%
6-May-21,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%
7-May-21,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%
8-May-21,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%
9-May-21,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%
10-May-21,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%
11-May-21,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%
12-May-21,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%
13-May-21,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%
14-May-21,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%
15-May-21,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%
16-May-21,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%
17-May-21,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%
18-May-21,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%
19-May-21,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%
20-May-21,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%
21-May-21,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%
22-May-21,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%
23-May-21,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%
24-May-21,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%
25-May-21,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%
26-May-21,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%
27-May-21,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%
28-May-21,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%
29-May-21,"34,584.60","35,664.50","37,227.10","33,664.20",160.43K,-3.02%
30-May-21,"35,652.80","34,589.30","36,388.60","33,441.00",104.18K,3.09%
31-May-21,"37,298.60","35,644.00","37,480.70","34,213.20",131.70K,4.62%
1-Jun-21,"36,687.60","37,294.30","37,850.30","35,742.70",113.48K,-1.64%
2-Jun-21,"37,555.80","36,687.70","38,199.90","35,981.10",96.89K,2.37%
3-Jun-21,"39,187.30","37,555.70","39,462.30","37,193.60",106.44K,4.34%
4-Jun-21,"36,851.30","39,191.40","39,255.40","35,659.90",127.71K,-5.96%
5-Jun-21,"35,520.00","36,841.20","37,887.60","34,832.00",101.48K,-3.61%
6-Jun-21,"35,815.40","35,518.70","36,434.00","35,265.30",62.20K,0.83%
7-Jun-21,"33,578.00","35,815.40","36,754.60","33,410.10",119.50K,-6.25%
8-Jun-21,"33,382.90","33,574.60","34,047.80","31,158.10",193.54K,-0.58%
9-Jun-21,"37,332.20","33,385.50","37,517.60","32,428.60",209.82K,11.83%
10-Jun-21,"36,649.40","37,375.20","38,340.80","35,824.00",154.32K,-1.83%
11-Jun-21,"37,314.60","36,654.30","37,641.10","36,003.30",109.15K,1.81%
12-Jun-21,"35,467.50","37,334.40","37,437.30","34,703.30",87.73K,-4.95%
13-Jun-21,"39,022.90","35,467.50","39,321.60","34,827.00",123.32K,10.02%
14-Jun-21,"40,529.40","39,024.10","40,970.40","38,769.90",157.35K,3.86%
15-Jun-21,"40,156.10","40,522.50","41,318.00","39,589.90",117.55K,-0.92%
16-Jun-21,"38,336.00","40,148.10","40,494.40","38,156.40",123.52K,-4.53%
17-Jun-21,"38,052.00","38,337.80","39,529.90","37,425.30",109.58K,-0.74%
18-Jun-21,"35,749.40","38,045.50","38,166.00","35,198.50",102.84K,-6.05%
19-Jun-21,"35,513.40","35,770.00","36,357.30","34,845.50",105.46K,-0.66%
20-Jun-21,"35,595.80","35,510.90","36,097.90","33,378.00",137.48K,0.23%
21-Jun-21,"31,692.00","35,597.90","35,708.40","31,284.10",256.87K,-10.97%
22-Jun-21,"32,496.40","31,682.70","33,272.50","28,901.80",309.65K,2.54%
23-Jun-21,"33,674.30","32,498.30","34,784.30","31,736.50",173.34K,3.62%
24-Jun-21,"34,665.80","33,678.10","35,249.90","32,356.70",119.25K,2.94%
25-Jun-21,"31,594.00","34,660.50","35,490.90","31,337.90",193.43K,-8.86%
26-Jun-21,"32,243.40","31,592.10","32,643.00","30,206.90",156.67K,2.06%
27-Jun-21,"34,678.50","32,247.10","34,685.50","32,041.70",148.80K,7.55%
28-Jun-21,"34,475.90","34,682.20","35,231.20","33,944.90",112.00K,-0.58%
29-Jun-21,"35,834.70","34,477.30","36,590.30","34,247.60",97.27K,3.94%
30-Jun-21,"35,026.90","35,832.60","36,089.50","34,126.60",107.07K,-2.25%
1-Jul-21,"33,543.60","35,030.70","35,032.70","32,839.20",27.41K,-4.23%
2-Jul-21,"33,813.40","33,542.20","33,925.90","32,734.60",78.93K,0.80%
3-Jul-21,"34,742.80","33,814.20","34,909.80","33,363.30",55.69K,2.75%
4-Jul-21,"35,298.20","34,742.80","35,957.60","34,740.10",56.13K,1.60%
5-Jul-21,"33,687.80","35,297.00","35,300.50","33,164.10",88.36K,-4.56%
6-Jul-21,"34,225.60","33,688.50","35,062.00","33,581.70",83.63K,1.60%
7-Jul-21,"33,867.80","34,228.70","35,036.60","33,801.30",72.03K,-1.05%
8-Jul-21,"32,866.30","33,859.40","33,923.20","32,146.90",108.09K,-2.96%
9-Jul-21,"33,797.40","32,866.30","34,079.20","32,367.00",67.14K,2.83%
10-Jul-21,"33,510.60","33,797.70","34,221.00","33,056.80",50.94K,-0.85%
11-Jul-21,"34,227.70","33,510.80","34,580.60","33,319.80",35.72K,2.14%
12-Jul-21,"33,113.00","34,228.30","34,598.00","32,662.80",63.24K,-3.26%
13-Jul-21,"32,728.10","33,106.10","33,307.70","32,259.50",60.04K,-1.16%
14-Jul-21,"32,820.70","32,727.80","33,051.90","31,611.20",69.56K,0.28%
15-Jul-21,"31,840.50","32,820.50","33,157.00","31,175.80",76.95K,-2.99%
16-Jul-21,"31,394.00","31,842.30","32,239.80","31,062.20",70.48K,-1.40%
17-Jul-21,"31,518.60","31,384.40","31,914.80","31,207.80",58.06K,0.40%
18-Jul-21,"31,785.40","31,517.90","32,408.20","31,220.60",57.01K,0.85%
19-Jul-21,"30,837.20","31,782.90","31,887.00","30,478.20",77.48K,-2.98%
20-Jul-21,"29,793.80","30,835.40","31,040.80","29,310.20",97.46K,-3.38%
21-Jul-21,"32,131.40","29,794.70","32,794.60","29,519.30",118.34K,7.85%
22-Jul-21,"32,298.90","32,131.70","32,585.40","31,729.40",64.87K,0.52%
23-Jul-21,"33,603.30","32,297.90","33,605.60","32,041.10",66.15K,4.04%
24-Jul-21,"33,824.80","33,600.50","33,955.00","33,412.90",67.14K,0.66%
25-Jul-21,"35,391.10","34,392.50","35,391.10","33,881.30",65.10K,4.63%
26-Jul-21,"38,422.30","35,392.30","39,639.90","35,236.70",124.21K,8.56%